_id,name,userId,team,count_soldier,count_archer,count_tank,count_drone,count_sniper,count_medic,total_units,total_health,avg_health,total_attack,avg_attack,avg_range,avg_speed,avg_x,avg_y,std_x,std_y,formation_width,formation_height,ranged_fraction,cluster,playstyle_name
{'$oid': '69331b46f3bf944a5e095b81'},wolf stategy,{'$oid': '69331b30f3bf944a5e095b7a'},teamB,0,2,0,2,0,0,4,260.0,65.0,64.0,16.0,3.5,3.5,17.0,8.0,0.0,2.23606797749979,0.0,6.0,1.0,1,teamB Playstyle 1
{'$oid': '693344b2b85fe24ee17a99a3'},ml_data1_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,1,1,1,1,1,1,6,510.0,85.0,112.0,18.666666666666668,2.6666666666666665,2.8333333333333335,17.0,8.333333333333334,0.0,2.981423969999719,0.0,8.0,0.5,1,teamB Playstyle 1
{'$oid': '693361ffaebe6ce0db227878'},ml_data2_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,2,1,2,1,1,0,7,690.0,98.57142857142857,147.0,21.0,2.5714285714285716,2.7142857142857144,17.0,8.142857142857142,0.0,2.799416848895061,0.0,8.0,0.42857142857142855,1,teamB Playstyle 1
{'$oid': '693366a3aebe6ce0db22790a'},ml_data3_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,2,1,2,1,1,0,7,1232.0,176.0,245.0,35.0,2.0,2.0,17.0,8.0,0.0,0.0,0.0,0.0,0.42857142857142855,0,teamB Playstyle 0
{'$oid': '69336738aebe6ce0db22796f'},ml_data4_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,2,1,2,1,1,0,7,532.0,76.0,308.0,44.0,2.0,2.0,17.0,8.0,0.0,0.0,0.0,0.0,0.42857142857142855,0,teamB Playstyle 0
{'$oid': '6933675daebe6ce0db2279f3'},ml_data5_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,0,0,0,0,1,4,5,340.0,68.0,55.0,11.0,1.8,2.8,17.0,9.0,0.0,2.8284271247461903,0.0,8.0,0.2,3,teamB Playstyle 3
{'$oid': '693367cfaebe6ce0db227a83'},ml_data6_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,0,0,0,0,1,4,5,340.0,68.0,55.0,11.0,1.8,2.8,17.0,9.0,0.0,2.8284271247461903,0.0,8.0,0.2,3,teamB Playstyle 3
{'$oid': '6933680faebe6ce0db227b25'},ml_data7_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,0,0,0,1,1,4,6,390.0,65.0,67.0,11.166666666666666,2.1666666666666665,3.1666666666666665,17.0,8.333333333333334,0.0,2.981423969999719,0.0,8.0,0.3333333333333333,3,teamB Playstyle 3
{'$oid': '69336865aebe6ce0db227ce1'},ml_data8_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,0,0,0,1,1,1,3,180.0,60.0,52.0,17.333333333333332,3.3333333333333335,3.3333333333333335,17.0,9.666666666666666,0.0,3.39934634239519,0.0,8.0,0.6666666666666666,1,teamB Playstyle 1
{'$oid': '6933688daebe6ce0db227da8'},ml_data9_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,0,0,0,1,2,1,4,240.0,60.0,102.0,25.5,3.75,3.75,17.0,10.0,0.0,3.0,0.0,8.0,0.75,1,teamB Playstyle 1
{'$oid': '693368acaebe6ce0db227e7f'},ml_data10_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,7,0,0,1,2,1,11,940.0,85.45454545454545,207.0,18.818181818181817,2.0,3.272727272727273,17.0,9.363636363636363,0.0,3.170108322575035,0.0,8.0,0.2727272727272727,1,teamB Playstyle 1
{'$oid': '693368d4aebe6ce0db227f81'},ml_data11_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,7,0,0,1,5,1,14,1120.0,80.0,312.0,22.285714285714285,2.642857142857143,3.0,17.0,9.285714285714286,0.0,2.913725436338734,0.0,8.0,0.42857142857142855,1,teamB Playstyle 1
{'$oid': '693368eaaebe6ce0db2280b1'},ml_data12_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,7,0,0,1,5,1,14,1120.0,80.0,312.0,22.285714285714285,2.642857142857143,3.0,17.0,9.285714285714286,0.0,2.913725436338734,0.0,8.0,0.42857142857142855,1,teamB Playstyle 1
{'$oid': '69336913aebe6ce0db22820b'},ml_data13_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,8,0,0,1,5,1,15,1220.0,81.33333333333333,327.0,21.8,2.533333333333333,3.0,17.0,9.533333333333333,0.0,2.963481436119049,0.0,8.0,0.4,1,teamB Playstyle 1
{'$oid': '69336948aebe6ce0db2285e1'},ml_data14_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,0,0,8,0,0,0,8,1200.0,150.0,200.0,25.0,2.0,2.0,17.0,8.25,0.0,2.6339134382131846,0.0,8.0,0.0,0,teamB Playstyle 0
{'$oid': '69336a2daebe6ce0db22892c'},ml_data15_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,0,0,8,0,1,0,9,1260.0,140.0,235.0,26.11111111111111,2.3333333333333335,2.0,17.0,8.555555555555555,0.0,2.629368792488718,0.0,8.0,0.1111111111111111,0,teamB Playstyle 0
{'$oid': '69336a67aebe6ce0db228b01'},ml_data16_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,1,2,0,1,0,0,4,310.0,77.5,67.0,16.75,2.75,3.0,17.0,8.0,0.0,2.23606797749979,0.0,6.0,0.75,1,teamB Playstyle 1
{'$oid': '69336a7baebe6ce0db228cdc'},ml_data17_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,2,2,0,1,0,0,5,410.0,82.0,82.0,16.4,2.4,3.0,17.0,9.0,0.0,2.8284271247461903,0.0,8.0,0.6,1,teamB Playstyle 1
{'$oid': '69336a9faebe6ce0db228ecd'},ml_data18_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,2,2,0,1,0,0,5,497.0,99.4,82.0,16.4,2.4,3.0,17.0,11.2,0.0,5.2306787322488075,0.0,15.0,0.6,1,teamB Playstyle 1
{'$oid': '69336ab4aebe6ce0db2290d2'},ml_data19_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,2,2,0,2,0,1,7,617.0,88.14285714285714,99.0,14.142857142857142,2.4285714285714284,3.2857142857142856,17.0,9.714285714285714,0.0,5.034574339058884,0.0,15.0,0.5714285714285714,1,teamB Playstyle 1
{'$oid': '69336ac7aebe6ce0db2292f7'},ml_data19_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,2,2,0,3,1,1,9,727.0,80.77777777777777,146.0,16.22222222222222,2.888888888888889,3.3333333333333335,17.0,9.777777777777779,0.0,4.46661138716484,0.0,15.0,0.6666666666666666,1,teamB Playstyle 1
{'$oid': '69336afaaebe6ce0db229544'},ml_data20_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,2,2,0,3,1,1,9,727.0,80.77777777777777,146.0,16.22222222222222,2.888888888888889,3.3333333333333335,17.0,10.777777777777779,0.0,4.288946459026396,0.0,15.0,0.6666666666666666,1,teamB Playstyle 1
{'$oid': '69336b16aebe6ce0db2297b5'},ml_data21_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,2,0,0,3,1,1,7,567.0,81.0,106.0,15.142857142857142,2.857142857142857,3.7142857142857144,17.0,10.857142857142858,0.0,4.485805276602166,0.0,15.0,0.5714285714285714,1,teamB Playstyle 1
{'$oid': '69336b2aaebe6ce0db229a3b'},ml_data22_strategy,{'$oid': '69333eefb85fe24ee17a9990'},teamB,4,0,0,3,1,1,9,767.0,85.22222222222223,136.0,15.11111111111111,2.4444444444444446,3.5555555555555554,17.0,10.666666666666666,0.0,4.0,0.0,15.0,0.4444444444444444,1,teamB Playstyle 1
